scorer,El-Sayed,El-Sayed,El-Sayed,El-Sayed
bodyparts,Head,Head,Tail,Tail
coords,x,y,x,y
labeled-data/outpy04/img011.png,120.76313909403942,52.95357655080973,129.32475305817803,39.207866057926616
labeled-data/outpy04/img012.png,119.50698224908838,54.24252144884208,127.67331833499723,39.707941626215316
labeled-data/outpy04/img018.png,119.92109360441631,58.12322097932963,121.21634336934758,39.66906924316279
labeled-data/outpy04/img020.png,119.50955407934345,56.149786762450894,120.98203778348478,40.034270667126215
labeled-data/outpy04/img021.png,118.98449592054453,57.059652064097854,121.07190485318712,40.000482511122186
labeled-data/outpy04/img027.png,118.8959170811091,58.17178129026578,122.51733409661739,41.23920983937561
labeled-data/outpy04/img041.png,187.62472703879553,35.76292430103366,169.0955618064992,50.34429487902629
labeled-data/outpy04/img043.png,221.05686695197392,48.94310460449808,198.8730448113174,48.00311214091094
labeled-data/outpy04/img044.png,224.05319203816615,48.020108090338866,202.8345837929221,48.24949844974691
labeled-data/outpy04/img047.png,226.78860861225212,40.104184125931084,208.76206841980016,34.98085165018158
labeled-data/outpy04/img048.png,227.72129048822407,29.218919733176516,219.9262299378819,44.69355845533725
labeled-data/outpy04/img050.png,226.8878265620429,29.48030426543732,219.02997145470152,47.31763535910223
labeled-data/outpy04/img056.png,249.9607116510315,38.27855054985123,236.9852348362038,51.985040142979095
labeled-data/outpy04/img058.png,250.81878031570915,56.841514954627335,239.8011328382521,49.97624717972949
labeled-data/outpy04/img070.png,240.955716117759,55.22866813457924,227.0405088099736,45.164532959944765
labeled-data/outpy04/img085.png,208.969150503492,47.85437291961725,224.20985327111848,41.0064955116974
labeled-data/outpy04/img088.png,210.92921777235213,40.17052711363187,226.13867527512247,52.949249399064485
labeled-data/outpy04/img091.png,226.9447085749091,51.07131113581178,209.85667919169157,37.41212975383198
labeled-data/outpy04/img108.png,197.19874223970442,46.13930609874892,212.93339996024824,35.83519396317156
labeled-data/outpy04/img132.png,175.99419442070473,55.8207751795492,,
labeled-data/outpy04/img133.png,170.62724887566537,55.180221828472426,,
labeled-data/outpy04/img148.png,150.74284979864146,54.99008474844877,170.90304529592296,44.189980017762245
labeled-data/outpy04/img160.png,127.98087635301505,51.8057414967887,148.67983847895425,53.09367691795825
labeled-data/outpy04/img161.png,129.94212042904803,45.49923350795386,142.50296380554767,55.53669317042454
